x	f(x)
-0.898	0.145197
-0.722	0.359037
0.887	0.159923
-0.852	0.205572
0.988	0.017892
-0.881	0.167879
-0.454	0.595413
0.857	0.199163
-0.345	0.660731
-0.657	0.426263
-0.658	0.425277
-0.641	0.441839
0.915	0.122081
-0.597	0.482693
0.841	0.219539
0.424	0.615168
0.268	0.696132
-0.584	0.494208
0.939	0.0887093
-0.877	0.173153
-0.906	0.134373
-0.9	0.1425
0.576	0.501168
0.634	0.448533
-0.4	0.63
-0.987	0.0193733
0.323	0.671753
0.804	0.265188
0.838	0.223317
-0.574	0.502893
0.846	0.213213
0.935	0.0943312
0.76	0.3168
-0.864	0.190128
-0.538	0.532917
-0.981	0.0282292
0.813	0.254273
0.757	0.320213
0.492	0.568452
-0.404	0.627588
0.445	0.601481
0.594	0.485373
0.867	0.186233
0.818	0.248157
0.849	0.209399
0.757	0.320213
-0.996	0.005988
0.61	0.470925
0.968	0.047232
-0.419	0.618329
-0.975	0.0370313
-0.806	0.262773
-0.835	0.227081
0.379	0.642269
-0.851	0.206849
0.726	0.354693
0.997	0.00449325
0.76	0.3168
0.969	0.0457793
-0.423	0.615803
-0.751	0.326999
0.719	0.362279
-0.666	0.417333
0.639	0.443759
0.946	0.078813
-0.987	0.0193733
-0.797	0.273593
-0.604	0.476388
0.793	0.278363
-0.435	0.608081
-0.754	0.323613
-0.779	0.294869
0.813	0.254273
-0.912	0.126192
0.462	0.589917
-0.924	0.109668
-0.832	0.230832
-0.909	0.130289
-0.467	0.586433
0.748	0.330372
-0.62	0.4617
-0.968	0.047232
-0.49	0.569925
-0.948	0.075972
0.409	0.624539
0.865	0.188831
0.814	0.253053
-0.529	0.540119
0.465	0.587831
0.981	0.0282292
-0.758	0.319077
0.879	0.170519
-0.952	0.070272
-0.84	0.2208
-0.757	0.320213
-0.641	0.441839
-0.657	0.426263
0.505	0.558731
0.949	0.0745493
-0.586	0.492453
-0.884	0.163908
-0.875	0.175781
-0.863	0.191423
-0.64	0.4428
0.743	0.335963
-0.961	0.0573592
-0.796	0.274788
0.931	0.0999292
-0.985	0.0223313
0.582	0.495957
-0.873	0.178403
-0.731	0.349229
0.933	0.0971332
0.797	0.273593
-0.79	0.281925
0.705	0.377231
0.719	0.362279
-0.914	0.123453
0.894	0.150573
-0.61	0.470925
0.735	0.344831
0.572	0.504612
-0.913	0.124823
-0.995	0.00748125
0.977	0.0341033
0.733	0.347033
0.573	0.503753
0.207	0.717863
0.92	0.1152
-0.115	0.740081
0.805	0.263981
-0.699	0.383549
-0.956	0.064548
0.684	0.399108
0.703	0.379343
-0.91	0.128925
0.978	0.032637
-0.803	0.266393
-0.958	0.061677
-0.985	0.0223313
0.805	0.263981
-0.86	0.1953
-0.912	0.126192
-0.819	0.246929
-0.893	0.151913
-0.94	0.0873
-0.788	0.284292
0.743	0.335963
0.981	0.0282292
0.957	0.0631133
-0.919	0.116579
-0.653	0.430193
-0.679	0.404219
-0.455	0.594731
-0.984	0.023808
0.683	0.400133
0.596	0.483588
0.524	0.544068
0.803	0.266393
-0.545	0.527231
0.429	0.611969
0.913	0.124823
-0.191	0.722639
-0.729	0.351419
0.84	0.2208
-0.441	0.604139
0.988	0.017892
-0.72	0.3612
-0.917	0.119333
-0.927	0.105503
-0.93	0.101325
-0.823	0.242003
-0.605	0.475481
0.517	0.549533
-0.463	0.589223
0.827	0.237053
-0.644	0.438948
0.709	0.372989
0.983	0.0252833
0.952	0.070272
-0.998	0.002997
-0.986	0.020853
-0.604	0.476388
0.944	0.081648
-0.659	0.424289
-0.968	0.047232
0.588	0.490692
0.872	0.179712
-0.865	0.188831
-0.461	0.590609
-0.506	0.557973
0.659	0.424289
0.743	0.335963
-0.821	0.244469
-0.485	0.573581
-0.98	0.0297
-0.591	0.488039
0.984	0.023808
0.754	0.323613
-0.878	0.171837
0.758	0.319077
0.767	0.308783
-0.974	0.038493
-0.722	0.359037
0.427	0.613253
-0.996	0.005988
0.682	0.401157
-0.78	0.2937
-0.638	0.444717
-0.609	0.471839
0.713	0.368723
-0.86	0.1953
0.597	0.482693
0.706	0.376173
0.92	0.1152
0.991	0.0134393
-0.812	0.255492
-0.434	0.608733
0.366	0.649533
0.41	0.623925
-0.464	0.588528
0.811	0.256709
0.983	0.0252833
0.577	0.500303
-0.979	0.0311693
0.414	0.621453
0.466	0.587133
0.227	0.711353
-0.946	0.078813
0.808	0.260352
-0.769	0.306479
0.733	0.347033
-0.716	0.365508
-0.956	0.064548
0.616	0.465408
0.963	0.0544733
0.583	0.495083
0.986	0.020853
0.847	0.211943
0.523	0.544853
-0.966	0.050133
0.964	0.053028
0.669	0.414329
0.681	0.402179
0.827	0.237053
-0.805	0.263981
0.88	0.1692
-0.383	0.639983
-0.377	0.643403
0.835	0.227081
0.39	0.635925
0.925	0.108281
-0.931	0.0999292
0.327	0.669803
0.653	0.430193
-0.783	0.290183
0.909	0.130289
-0.456	0.594048
-0.978	0.032637
-0.897	0.146543
-0.681	0.402179
0.81	0.257925
0.727	0.353603
-0.755	0.322481
0.748	0.330372
0.647	0.436043
0.787	0.285473
0.719	0.362279
0.589	0.489809
-0.657	0.426263
0.773	0.301853
0.914	0.123453
-0.799	0.271199
0.854	0.203013
0.819	0.246929
0.837	0.224573
-0.942	0.084477
0.352	0.657072
-0.692	0.390852
0.708	0.374052
-0.958	0.061677
0.915	0.122081
-0.978	0.032637
-0.916	0.120708
-0.79	0.281925
0.387	0.637673
0.355	0.655481
-0.896	0.147888
-0.864	0.190128
0.876	0.174468
-0.972	0.041412
-0.621	0.460769
-0.972	0.041412
-0.858	0.197877
0.743	0.335963
0.635	0.447581
0.895	0.149231
-0.721	0.360119
0.86	0.1953
-0.646	0.437013
-0.64	0.4428
-0.768	0.307632
-0.872	0.179712
-0.546	0.526413
0.92	0.1152
0.817	0.249383
0.887	0.159923
-0.878	0.171837
0.686	0.397053
-0.889	0.157259
-0.731	0.349229
0.779	0.294869
-0.919	0.116579
0.492	0.568452
0.449	0.598799
0.909	0.130289
0.944	0.081648
-0.868	0.184932
0.68	0.4032
-0.643	0.439913
0.767	0.308783
0.783	0.290183
-0.603	0.477293
-0.824	0.240768
-0.086	0.744453
-0.546	0.526413
-0.72	0.3612
0.953	0.0688433
-0.555	0.518981
0.92	0.1152
0.414	0.621453
-0.517	0.549533
-0.98	0.0297
0.5	0.5625
-0.627	0.455153
-0.572	0.504612
0.732	0.348132
0.243	0.705713
-0.817	0.249383
0.914	0.123453
0.808	0.260352
-0.593	0.486263
-0.978	0.032637
0.752	0.325872
0.952	0.070272
0.871	0.181019
-0.885	0.162581
0.992	0.011952
0.744	0.334848
0.973	0.0399533
0.725	0.355781
-0.681	0.402179
-0.969	0.0457793
0.494	0.566973
-0.461	0.590609
-0.69	0.392925
-0.946	0.078813
-0.739	0.340409
0.963	0.0544733
-0.888	0.158592
-0.494	0.566973
0.777	0.297203
-0.522	0.545637
-0.565	0.510581
0.766	0.309933
0.958	0.061677
0.826	0.238293
-0.6	0.48
0.981	0.0282292
0.485	0.573581
0.449	0.598799
0.713	0.368723
-0.533	0.536933
-0.613	0.468173
-0.851	0.206849
0.874	0.177093
-0.286	0.688653
-0.76	0.3168
0.749	0.329249
-0.752	0.325872
0.675	0.408281
-0.826	0.238293
0.645	0.437981
0.837	0.224573
0.4	0.63
-0.95	0.073125
-0.886	0.161253
0.584	0.494208
-0.952	0.070272
0.835	0.227081
0.878	0.171837
0.944	0.081648
-0.968	0.047232
0.957	0.0631133
-0.87	0.182325
0.718	0.363357
0.801	0.268799
0.718	0.363357
0.858	0.197877
0.569	0.507179
-0.902	0.139797
0.443	0.602813
-0.619	0.462629
-0.767	0.308783
0.962	0.055917
-0.726	0.354693
-0.895	0.149231
0.487	0.572123
-0.928	0.104112
-0.774	0.300693
0.491	0.569189
-0.983	0.0252833
0.597	0.482693
0.977	0.0341033
0.434	0.608733
0.531	0.538529
0.933	0.0971332
-0.833	0.229583
0.81	0.257925
-0.749	0.329249
-0.718	0.363357
0.914	0.123453
-0.769	0.306479
-0.554	0.519813
-0.464	0.588528
-0.928	0.104112
-0.974	0.038493
-0.826	0.238293
-0.853	0.204293
0.914	0.123453
-0.707	0.375113
0.838	0.223317
-0.765	0.311081
0.91	0.128925
-0.988	0.017892
0.886	0.161253
-0.875	0.175781
-0.328	0.669312
-0.891	0.154589
-0.55	0.523125
0.529	0.540119
0.296	0.684288
0.734	0.345933
-0.869	0.183629
0.825	0.239531
-0.897	0.146543
-0.974	0.038493
-0.554	0.519813
0.796	0.274788
0.73	0.350325
-0.926	0.106893
0.46	0.5913
-0.789	0.283109
-0.74	0.3393
-0.629	0.453269
-0.465	0.587831
-0.654	0.429213
-0.963	0.0544733
0.664	0.419328
0.667	0.416333
-0.901	0.141149
0.868	0.184932
-0.883	0.165233
0.919	0.116579
0.671	0.412319
-0.87	0.182325
-0.599	0.480899
0.899	0.143849
-0.994	0.008973
-0.655	0.428231
0.965	0.0515813
-0.714	0.367653
0.932	0.098532
0.785	0.287831
-0.255	0.701231
0.889	0.157259
-0.682	0.401157
-0.7	0.3825
-0.875	0.175781
0.633	0.449483
-0.806	0.262773
0.537	0.533723
0.83	0.233325
0.7	0.3825
0.949	0.0745493
-0.918	0.117957
-0.768	0.307632
0.986	0.020853
-0.982	0.026757
0.359	0.653339
0.8	0.27
0.677	0.406253
-0.814	0.253053
0.909	0.130289
-0.542	0.529677
0.809	0.259139
-0.533	0.536933
-0.996	0.005988
-0.829	0.234569
-0.871	0.181019
0.664	0.419328
-0.993	0.0104633
-0.929	0.102719
0.955	0.0659813
0.729	0.351419
-0.707	0.375113
-0.889	0.157259
0.753	0.324743
-0.452	0.596772
-0.904	0.137088
0.984	0.023808
0.917	0.119333
0.33	0.668325
-0.91	0.128925
0.306	0.679773
-0.945	0.0802313
-0.79	0.281925
-0.928	0.104112
0.73	0.350325
-0.658	0.425277
0.28	0.6912
-0.881	0.167879
-0.889	0.157259
-0.429	0.611969
0.389	0.636509
-0.756	0.321348
0.815	0.251831
0.886	0.161253
0.949	0.0745493
0.598	0.481797
-0.687	0.396023
-0.939	0.0887093
-0.811	0.256709
-0.866	0.187533
-0.717	0.364433
0.943	0.0830633
-0.473	0.582203
0.719	0.362279
-0.447	0.600143
0.905	0.135731
0.938	0.090117
-0.939	0.0887093
0.428	0.612612
0.861	0.194009
-0.522	0.545637
-0.874	0.177093
0.376	0.643968
-0.574	0.502893
0.756	0.321348
0.72	0.3612
0.78	0.2937
0.446	0.600813
0.945	0.0802313
0.835	0.227081
-0.997	0.00449325
-0.708	0.374052
0.966	0.050133
0.919	0.116579
0.404	0.627588
-0.617	0.464483
-0.297	0.683843
-0.461	0.590609
0.988	0.017892
-0.743	0.335963
0.823	0.242003
0.97	0.044325
-0.763	0.313373
-0.169	0.728579
0.91	0.128925
-0.889	0.157259
-0.455	0.594731
-0.634	0.448533
-0.761	0.315659
-0.485	0.573581
-0.833	0.229583
-0.788	0.284292
0.91	0.128925
-0.558	0.516477
0.158	0.731277
-0.736	0.343728
-0.775	0.299531
-0.957	0.0631133
0.559	0.515639
0.826	0.238293
-0.889	0.157259
-0.613	0.468173
0.806	0.262773
0.928	0.104112
-0.714	0.367653
-0.932	0.098532
-0.702	0.380397
-0.52	0.5472
0.689	0.393959
-0.604	0.476388
-0.76	0.3168
0.858	0.197877
0.947	0.0773933
-0.642	0.440877
-0.66	0.4233
-0.866	0.187533
-0.937	0.0915232
0.997	0.00449325
0.724	0.356868
0.916	0.120708
-0.618	0.463557
-0.855	0.201731
0.858	0.197877
0.997	0.00449325
0.744	0.334848
-0.759	0.317939
0.564	0.511428
-0.796	0.274788
-0.715	0.366581
0.885	0.162581
0.968	0.047232
-0.578	0.499437
-0.923	0.111053
0.643	0.439913
-0.307	0.679313
0.509	0.555689
0.426	0.613893
0.751	0.326999
0.976	0.035568
0.542	0.529677
0.99	0.014925
-0.883	0.165233
-0.689	0.393959
-0.673	0.410303
0.806	0.262773
0.869	0.183629
-0.595	0.484481
-0.491	0.569189
0.841	0.219539
-0.775	0.299531
0.977	0.0341033
0.496	0.565488
-0.692	0.390852
-0.928	0.104112
0.881	0.167879
-0.641	0.441839
-0.992	0.011952
0.578	0.499437
0.826	0.238293
-0.564	0.511428
0.561	0.513959
0.903	0.138443
0.809	0.259139
-0.804	0.265188
0.998	0.002997
0.95	0.073125
-0.721	0.360119
0.497	0.564743
0.99	0.014925
0.924	0.109668
-0.36	0.6528
-0.898	0.145197
-0.514	0.551853
0.554	0.519813
-0.874	0.177093
0.599	0.480899
-0.381	0.641129
-0.871	0.181019
0.916	0.120708
-0.716	0.365508
0.705	0.377231
-0.894	0.150573
-0.939	0.0887093
0.926	0.106893
-0.812	0.255492
0.901	0.141149
0.806	0.262773
-0.824	0.240768
-0.716	0.365508
0.912	0.126192
-0.627	0.455153
-0.874	0.177093
-0.32	0.6732
-0.528	0.540912
-0.459	0.591989
0.95	0.073125
0.486	0.572853
-0.759	0.317939
-0.813	0.254273
-0.561	0.513959
0.556	0.518148
0.793	0.278363
0.922	0.112437
0.825	0.239531
-0.481	0.576479
-0.871	0.181019
0.666	0.417333
0.77	0.305325
0.319	0.673679
0.833	0.229583
0.891	0.154589
-0.89	0.155925
-0.937	0.0915232
-0.922	0.112437
-0.511	0.554159
-0.708	0.374052
0.951	0.0716993
-0.908	0.131652
0.944	0.081648
0.772	0.303012
-0.811	0.256709
0.565	0.510581
0.593	0.486263
0.716	0.365508
-0.736	0.343728
0.758	0.319077
0.855	0.201731
-0.978	0.032637
-0.773	0.301853
0.822	0.243237
0.657	0.426263
-0.8	0.27
0.943	0.0830633
0.821	0.244469
0.885	0.162581
-0.998	0.002997
-0.83	0.233325
0.928	0.104112
-0.749	0.329249
0.806	0.262773
-0.989	0.0164093
0.865	0.188831
-0.934	0.095733
0.823	0.242003
-0.788	0.284292
-0.742	0.337077
0.602	0.478197
0.774	0.300693
-0.509	0.555689
0.866	0.187533
-0.944	0.081648
-0.38	0.6417
0.75	0.328125
-0.994	0.008973
-0.6	0.48
0.714	0.367653
-0.902	0.139797
-0.875	0.175781
0.608	0.472752
-0.273	0.694103
0.738	0.341517
0.939	0.0887093
-0.834	0.228333
-0.902	0.139797
-0.712	0.369792
0.882	0.166557
-0.519	0.547979
-0.779	0.294869
-0.616	0.465408
-0.869	0.183629
0.935	0.0943312
-0.92	0.1152
-0.918	0.117957
0.546	0.526413
-0.981	0.0282292
0.62	0.4617
0.74	0.3393
-0.623	0.458903
0.667	0.416333
0.977	0.0341033
0.896	0.147888
0.921	0.113819
0.918	0.117957
-0.761	0.315659
0.851	0.206849
0.549	0.523949
-0.464	0.588528
-0.698	0.384597
0.557	0.517313
-0.584	0.494208
0.54	0.5313
-0.361	0.652259
0.567	0.508883
0.842	0.218277
0.952	0.070272
-0.771	0.304169
0.544	0.528048
-0.784	0.289008
-0.922	0.112437
0.588	0.490692
0.888	0.158592
0.946	0.078813
0.834	0.228333
0.863	0.191423
-0.974	0.038493
0.75	0.328125
0.516	0.550308
0.604	0.476388
0.926	0.106893
-0.989	0.0164093
0.536	0.534528
-0.952	0.070272
0.58	0.4977
0.537	0.533723
-0.439	0.605459
-1	0
0.851	0.206849
-0.968	0.047232
0.996	0.005988
0.996	0.005988
-0.844	0.215748
-0.619	0.462629
0.617	0.464483
0.786	0.286653
0.744	0.334848
-0.751	0.326999
0.793	0.278363
-0.596	0.483588
0.799	0.271199
0.864	0.190128
0.951	0.0716993
-0.65	0.433125
-0.418	0.618957
-0.663	0.420323
0.473	0.582203
0.547	0.525593
-0.375	0.644531
-0.849	0.209399
-0.992	0.011952
-0.991	0.0134393
0.855	0.201731
-0.924	0.109668
0.854	0.203013
0.968	0.047232
-0.769	0.306479
0.938	0.090117
-0.83	0.233325
-0.855	0.201731
0.493	0.567713
0.937	0.0915232
0.867	0.186233
0.907	0.133013
0.855	0.201731
-0.939	0.0887093
-0.983	0.0252833
-0.585	0.493331
-0.933	0.0971332
-0.89	0.155925
-0.876	0.174468
0.966	0.050133
0.601	0.479099
0.83	0.233325
0.722	0.359037
0.945	0.0802313
-0.849	0.209399
0.926	0.106893
-0.687	0.396023
-0.531	0.538529
-0.74	0.3393
-0.891	0.154589
-0.991	0.0134393
-0.808	0.260352
-0.949	0.0745493
-0.703	0.379343
0.744	0.334848
-0.663	0.420323
-0.984	0.023808
0.864	0.190128
-0.743	0.335963
-0.79	0.281925
-0.646	0.437013
0.901	0.141149
-0.991	0.0134393
-0.653	0.430193
-0.922	0.112437
-0.575	0.502031
-0.542	0.529677
0.867	0.186233
-0.884	0.163908
-0.586	0.492453
0.625	0.457031
-0.971	0.0428693
0.595	0.484481
0.904	0.137088
0.755	0.322481
-0.765	0.311081
0.853	0.204293
0.549	0.523949
-0.538	0.532917
-0.925	0.108281
-0.52	0.5472
0.905	0.135731
-0.994	0.008973
-0.551	0.522299
0.801	0.268799
-0.852	0.205572
-0.978	0.032637
-0.672	0.411312
0.956	0.064548
-0.561	0.513959
-0.538	0.532917
-0.65	0.433125
-0.991	0.0134393
-0.725	0.355781
0.822	0.243237
0.954	0.067413
-0.931	0.0999292
-0.77	0.305325
0.984	0.023808
-0.658	0.425277
-0.931	0.0999292
0.81	0.257925
-0.569	0.507179
-0.825	0.239531
0.997	0.00449325
0.853	0.204293
-0.692	0.390852
0.379	0.642269
-0.924	0.109668
0.936	0.092928
-0.817	0.249383
-0.515	0.551081
0.979	0.0311693
0.857	0.199163
0.951	0.0716993
0.6	0.48
-0.658	0.425277
-0.646	0.437013
0.749	0.329249
-0.827	0.237053
-0.701	0.381449
0.877	0.173153
-0.861	0.194009
0.987	0.0193733
0.79	0.281925
0.778	0.296037
-0.945	0.0802313
0.716	0.365508
-0.626	0.456093
-0.312	0.676992
0.867	0.186233
0.764	0.312228
-0.819	0.246929
0.998	0.002997
-0.994	0.008973
0.467	0.586433
0.777	0.297203
0.459	0.591989
-0.674	0.409293
-0.532	0.537732
-0.926	0.106893
0.87	0.182325
-0.933	0.0971332
-0.859	0.196589
0.801	0.268799
0.576	0.501168
-0.841	0.219539
0.841	0.219539
0.795	0.275981
0.695	0.387731
0.875	0.175781
-0.656	0.427248
0.686	0.397053
0.256	0.700848
-0.893	0.151913
-0.348	0.659172
-0.837	0.224573
0.653	0.430193
0.585	0.493331
-0.954	0.067413
-0.948	0.075972
-0.605	0.475481
-0.811	0.256709
-0.892	0.153252
0.902	0.139797
-0.62	0.4617
-0.984	0.023808
0.387	0.637673
0.967	0.0486833
0.787	0.285473
-0.888	0.158592
-0.621	0.460769
-0.879	0.170519
0.627	0.455153
-0.449	0.598799
-0.965	0.0515813
0.931	0.0999292
-0.891	0.154589
-0.541	0.530489
-0.785	0.287831
0.688	0.394992
0.798	0.272397
0.872	0.179712
-0.916	0.120708
0.8	0.27
0.959	0.0602393
-0.969	0.0457793
-0.715	0.366581
-0.906	0.134373
-0.807	0.261563
0.647	0.436043
-0.756	0.321348
0.929	0.102719
0.838	0.223317
0.909	0.130289
0.923	0.111053
0.418	0.618957
0.875	0.175781
0.705	0.377231
0.517	0.549533
0.563	0.512273
0.934	0.095733
0.906	0.134373
-0.82	0.2457
0.819	0.246929
-0.597	0.482693
-0.577	0.500303
-0.878	0.171837
0.687	0.396023
-0.497	0.564743
-0.725	0.355781
-0.269	0.695729
0.375	0.644531
0.941	0.0858893
-0.917	0.119333
0.833	0.229583
-0.623	0.458903
-0.598	0.481797
-0.996	0.005988
-0.563	0.512273
-0.897	0.146543
-0.925	0.108281
0.926	0.106893
0.945	0.0802313
-0.942	0.084477
-0.806	0.262773
-0.879	0.170519
-0.27	0.695325
-0.971	0.0428693
-0.991	0.0134393
0.933	0.0971332
0.748	0.330372
0.879	0.170519
0.826	0.238293
0.571	0.505469
0.717	0.364433
0.704	0.378288
0.551	0.522299
-0.653	0.430193
-0.859	0.196589
-0.866	0.187533
-0.858	0.197877
-0.574	0.502893
-0.543	0.528863
0.828	0.235812
-0.897	0.146543
0.889	0.157259
0.627	0.455153
0.998	0.002997
